model,metric,mean,p2.5,p97.5,n,tag
LR(isotonic),auc,0.9834092855914325,0.9749036527679464,0.9911781926103395,5,blocked_cv
LR(isotonic),ap,0.9708823953193937,0.9562345060664903,0.9863411148541367,5,blocked_cv
LR(isotonic),brier,0.05121329421480438,0.03162692867923747,0.07455476612648262,5,blocked_cv
LR(isotonic),ece,0.0641267704062137,0.03277318670410368,0.09533243220512325,5,blocked_cv
LR(isotonic),acc,0.9333333333333332,0.8966666666666667,0.9633333333333333,5,blocked_cv
LR(isotonic),bacc,0.9215291869379746,0.8868799226974977,0.9436111111111112,5,blocked_cv
LR(isotonic),f1,0.9193650793650793,0.8755555555555556,0.946984126984127,5,blocked_cv
LR(isotonic),prec,0.9542867094591234,0.9274468826192963,0.9793650793650794,5,blocked_cv
LR(isotonic),rec,0.8926821983273596,0.8083333333333333,0.9638888888888889,5,blocked_cv
LR(isotonic),mcc,0.8603887740696121,0.7992602269856894,0.9061812870133643,5,blocked_cv
RF(isotonic),auc,0.9761337190871859,0.9552091427091428,0.9892963382866051,5,blocked_cv
RF(isotonic),ap,0.9672232623158615,0.9428787002861828,0.9863724618110974,5,blocked_cv
RF(isotonic),brier,0.05763981104103313,0.035163723477677544,0.08207534318210055,5,blocked_cv
RF(isotonic),ece,0.07617245526539348,0.052162915227873495,0.10018199530291347,5,blocked_cv
RF(isotonic),acc,0.9199999999999999,0.8833333333333334,0.9533333333333334,5,blocked_cv
RF(isotonic),bacc,0.908280843286405,0.8835061310172545,0.9322222222222223,5,blocked_cv
RF(isotonic),f1,0.9073334468922705,0.8743347338935574,0.9400450450450449,5,blocked_cv
RF(isotonic),prec,0.936014447884417,0.9038183694530444,0.968470588235294,5,blocked_cv
RF(isotonic),rec,0.8872461170848268,0.8137992831541219,0.9638888888888889,5,blocked_cv
RF(isotonic),mcc,0.8356009953820653,0.7779475104488022,0.8926675777230416,5,blocked_cv
